id,application_date,segment,case_count
1,2019-07-06,1,11.322750103580855
2,2019-07-07,1,10.748906237814039
3,2019-07-08,1,12.276842587886872
4,2019-07-09,1,12.10614202137272
5,2019-07-10,1,12.090536578153184
6,2019-07-11,1,12.182788821403655
7,2019-07-12,1,12.082835619743584
8,2019-07-13,1,11.788209314461424
9,2019-07-14,1,10.93755274788252
10,2019-07-15,1,12.303557688266036
11,2019-07-16,1,11.86595672433563
12,2019-07-17,1,12.084942751814843
13,2019-07-18,1,12.192399710576636
14,2019-07-19,1,12.102396152069378
15,2019-07-20,1,11.77253775507247
16,2019-07-21,1,10.925262788166462
17,2019-07-22,1,12.278566988540854
18,2019-07-23,1,12.171001565216313
19,2019-07-24,1,12.047661582722167
20,2019-07-25,1,11.873591081350629
21,2019-07-26,1,12.252847625348515
22,2019-07-27,1,11.769559507418377
23,2019-07-28,1,11.0613418154013
24,2019-07-29,1,12.2620559169949
25,2019-07-30,1,12.14386296480472
26,2019-07-31,1,12.894082855697123
27,2019-08-01,1,10.89989419332595
28,2019-08-02,1,11.0902404634234
29,2019-08-03,1,11.36578874808741
30,2019-08-04,1,10.632729233203172
31,2019-08-05,1,11.990996684969495
32,2019-08-06,1,11.32832606588094
33,2019-08-07,1,11.889823117337757
34,2019-08-08,1,12.192502353550108
35,2019-08-09,1,12.159628258892479
36,2019-08-10,1,11.7819359575998
37,2019-08-11,1,10.937597918158664
38,2019-08-12,1,12.17567720572159
39,2019-08-13,1,12.05557366105988
40,2019-08-14,1,12.199161455524521
41,2019-08-15,1,12.16131041141903
42,2019-08-16,1,12.262920802102734
43,2019-08-17,1,11.870027535721098
44,2019-08-18,1,11.027822656306206
45,2019-08-19,1,12.068341790513733
46,2019-08-20,1,12.161193142995087
47,2019-08-21,1,12.169086288208758
48,2019-08-22,1,12.178688678870143
49,2019-08-23,1,12.139630176465042
50,2019-08-24,1,11.790281156055523
51,2019-08-25,1,10.995449251066939
52,2019-08-26,1,11.967930220882653
53,2019-08-27,1,12.205600013116753
54,2019-08-28,1,12.078363345255825
55,2019-08-29,1,12.049720903948833
56,2019-08-30,1,12.125734817758469
57,2019-08-31,1,12.81571991412906
58,2019-09-01,1,10.31573893865223
59,2019-09-02,1,11.77787879399196
60,2019-09-03,1,12.064873642963192
61,2019-09-04,1,10.20038872485115
62,2019-09-05,1,11.75460690445732
63,2019-09-06,1,11.948637665357754
64,2019-09-07,1,11.659675771115282
65,2019-09-08,1,10.774274185226394
66,2019-09-09,1,12.368899489076876
67,2019-09-10,1,12.227339347205936
68,2019-09-11,1,12.14970143216427
69,2019-09-12,1,12.193911401063666
70,2019-09-13,1,12.274633853146167
71,2019-09-14,1,11.886979055118728
72,2019-09-15,1,11.122451514017229
73,2019-09-16,1,12.24561364894581
74,2019-09-17,1,12.190631632620242
75,2019-09-18,1,12.162545954927168
76,2019-09-19,1,11.712335121929645
77,2019-09-20,1,12.168363130225034
78,2019-09-21,1,11.83149863359328
79,2019-09-22,1,11.082039704682979
80,2019-09-23,1,12.232973449672405
81,2019-09-24,1,12.120756724043783
82,2019-09-25,1,12.227073440343354
83,2019-09-26,1,12.235986785503917
84,2019-09-27,1,12.220455248202148
85,2019-09-28,1,11.770812750674798
86,2019-09-29,1,11.120677973835688
87,2019-09-30,1,12.776639057602141
88,2019-07-24,2,14.856685955900646
89,2019-07-25,2,15.101472751393533
90,2019-07-26,2,15.036335975464747
91,2019-07-27,2,14.762774171926699
92,2019-07-28,2,14.109077327803105
93,2019-07-29,2,13.287934839460029
94,2019-07-30,2,12.616508015729947
95,2019-07-31,2,10.92352648560067
96,2019-08-01,2,12.530103792621693
97,2019-08-02,2,12.622138338373107
98,2019-08-03,2,12.92128182287904
99,2019-08-04,2,12.501773785882637
100,2019-08-05,2,12.5433038039509
101,2019-08-06,2,12.659842594889884
102,2019-08-07,2,12.63652862509499
103,2019-08-08,2,12.602689865921057
104,2019-08-09,2,12.73438368427957
105,2019-08-10,2,12.874464031415188
106,2019-08-11,2,14.30574373642491
107,2019-08-12,2,15.247425035036946
108,2019-08-13,2,15.407166121320508
109,2019-08-14,2,15.321421453530956
110,2019-08-15,2,15.357600364618333
111,2019-08-16,2,15.347705990840236
112,2019-08-17,2,15.326410621009801
113,2019-08-18,2,14.563477277000754
114,2019-08-19,2,15.346170282703808
115,2019-08-20,2,15.372869811589931
116,2019-08-21,2,15.332275375186857
117,2019-08-22,2,14.93475270170483
118,2019-08-23,2,15.363257316987479
119,2019-08-24,2,15.200022397188382
120,2019-08-25,2,14.49367937204979
121,2019-08-26,2,15.033761645152232
122,2019-08-27,2,14.758683219171136
123,2019-08-28,2,13.721649438131093
124,2019-08-29,2,13.003051493828378
125,2019-08-30,2,12.90454648519705
126,2019-08-31,2,11.259144722242965
127,2019-09-01,2,12.50755178341341
128,2019-09-02,2,12.531313662358482
129,2019-09-03,2,12.393555980464624
130,2019-09-04,2,12.95763822138838
131,2019-09-05,2,12.575778882220737
132,2019-09-06,2,12.507440610849303
133,2019-09-07,2,12.50815295207461
134,2019-09-08,2,12.460727121331345
135,2019-09-09,2,12.819036696898076
136,2019-09-10,2,13.025479123632183
137,2019-09-11,2,14.740362219158346
138,2019-09-12,2,15.143188929886737
139,2019-09-13,2,15.380139814214779
140,2019-09-14,2,15.311200067812184
141,2019-09-15,2,14.50469216749285
142,2019-09-16,2,15.379916530126332
143,2019-09-17,2,15.30513204833276
144,2019-09-18,2,15.372677212513196
145,2019-09-19,2,15.062131043369263
146,2019-09-20,2,15.28818665477562
147,2019-09-21,2,15.283078108135888
148,2019-09-22,2,14.38229047194798
149,2019-09-23,2,15.293179331799408
150,2019-09-24,2,15.220294173552306
151,2019-09-25,2,14.578599804710775
152,2019-09-26,2,15.093387855412294
153,2019-09-27,2,14.877228538474505
154,2019-09-28,2,13.80660643327236
155,2019-09-29,2,12.927419523873375
156,2019-09-30,2,11.26594224205344
157,2019-10-01,2,12.453945249269575
158,2019-10-02,2,12.505450856712034
159,2019-10-03,2,12.468369105425413
160,2019-10-04,2,12.79863888939684
161,2019-10-05,2,12.512286872340383
162,2019-10-06,2,12.513147939611025
163,2019-10-07,2,12.657546214381226
164,2019-10-08,2,12.858976523093638
165,2019-10-09,2,12.69650782778416
166,2019-10-10,2,12.953694998389619
167,2019-10-11,2,14.741775219726323
168,2019-10-12,2,15.177101462686855
169,2019-10-13,2,14.501679906554438
170,2019-10-14,2,15.204915785892942
171,2019-10-15,2,15.240247981451533
172,2019-10-16,2,15.371421048571028
173,2019-10-17,2,15.35737118461062
174,2019-10-18,2,15.158449381458222
175,2019-10-19,2,15.214449349908373
176,2019-10-20,2,14.514814571573414
177,2019-10-21,2,15.244260485326237
178,2019-10-22,2,15.141272740575232
179,2019-10-23,2,14.995157119008427
180,2019-10-24,2,14.853565350527372
