,application_date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,segment
0,2017-04-01,2.013264653531682,1.6597232749151765,2.1352190530948834,2.013264653531682,2.013264653531682,-0.10964171309355482,-0.10964171309355482,-0.10964171309355482,-0.010496141887504714,-0.010496141887504714,-0.010496141887504714,-0.09914557120605012,-0.09914557120605012,-0.09914557120605012,0.0,0.0,0.0,1.9036229404381273,1
1,2017-04-03,2.013882192930144,1.6795723264058842,2.198469401243806,2.013882192930144,2.013882192930144,-0.07723054312659945,-0.07723054312659945,-0.07723054312659945,0.02602186519830182,0.02602186519830182,0.02602186519830182,-0.10325240832490129,-0.10325240832490129,-0.10325240832490129,0.0,0.0,0.0,1.9366516498035447,1
2,2017-04-04,2.0141909626293746,1.64716360032109,2.085232189562274,2.0141909626293746,2.0141909626293746,-0.09260581356128911,-0.09260581356128911,-0.09260581356128911,0.010745115351989515,0.010745115351989515,0.010745115351989515,-0.10335092891327863,-0.10335092891327863,-0.10335092891327863,0.0,0.0,0.0,1.9215851490680855,1
3,2017-04-05,2.0144997323286056,1.7868485072924445,2.1857346034507215,2.0144997323286056,2.0144997323286056,-0.0537217175353707,-0.0537217175353707,-0.0537217175353707,0.048416816400708856,0.048416816400708856,0.048416816400708856,-0.10213853393607958,-0.10213853393607958,-0.10213853393607958,0.0,0.0,0.0,1.9607780147932348,1
4,2017-04-07,2.0151172717270676,1.7116932695237919,2.1456640545732126,2.0151172717270676,2.0151172717270676,-0.08709429399143145,-0.08709429399143145,-0.08709429399143145,0.008818808712676075,0.008818808712676075,0.008818808712676075,-0.09591310270410752,-0.09591310270410752,-0.09591310270410752,0.0,0.0,0.0,1.9280229777356361,1
5,2017-04-12,2.0166611202232216,1.7930506696597321,2.2151855308658583,2.0166611202232216,2.0166611202232216,-0.013800579112100921,-0.013800579112100921,-0.013800579112100921,0.04841681640070563,0.04841681640070563,0.04841681640070563,-0.062217395512806556,-0.062217395512806556,-0.062217395512806556,0.0,0.0,0.0,2.002860541111121,1
6,2017-04-13,2.0169698899224526,1.7458910507473466,2.2126614959669073,2.0169698899224526,2.0169698899224526,-0.05089690700563854,-0.05089690700563854,-0.05089690700563854,0.0025214847039095483,0.0025214847039095483,0.0025214847039095483,-0.05341839170954808,-0.05341839170954808,-0.05341839170954808,0.0,0.0,0.0,1.966072982916814,1
7,2017-04-14,2.0172786596216836,1.7680861016053115,2.2443721731331125,2.0172786596216836,2.0172786596216836,-0.03549412305166316,-0.03549412305166316,-0.03549412305166316,0.00881880871237154,0.00881880871237154,0.00881880871237154,-0.0443129317640347,-0.0443129317640347,-0.0443129317640347,0.0,0.0,0.0,1.9817845365700204,1
8,2017-04-15,2.017587429320914,1.7692637905880422,2.1836661669844544,2.017587429320914,2.017587429320914,-0.04557468156333115,-0.04557468156333115,-0.04557468156333115,-0.010496141887694486,-0.010496141887694486,-0.010496141887694486,-0.035078539675636664,-0.035078539675636664,-0.035078539675636664,0.0,0.0,0.0,1.972012747757583,1
9,2017-04-16,2.017896199020145,1.6438208125468976,2.1172614477375427,2.017896199020145,2.017896199020145,-0.11192113579240769,-0.11192113579240769,-0.11192113579240769,-0.08602794847972575,-0.08602794847972575,-0.08602794847972575,-0.025893187312681937,-0.025893187312681937,-0.025893187312681937,0.0,0.0,0.0,1.9059750632277375,1
10,2017-04-17,2.018204968719376,1.849801641501147,2.2378550611041623,2.018204968719376,2.018204968719376,0.009090467921742852,0.009090467921742852,0.009090467921742852,0.02602186519810638,0.02602186519810638,0.02602186519810638,-0.016931397276363527,-0.016931397276363527,-0.016931397276363527,0.0,0.0,0.0,2.027295436641119,1
11,2017-04-18,2.018513738418607,1.7620735910427645,2.2612231345197658,2.018513738418607,2.018513738418607,0.002384681691492499,0.002384681691492499,0.002384681691492499,0.010745115352021077,0.010745115352021077,0.010745115352021077,-0.008360433660528575,-0.008360433660528575,-0.008360433660528575,0.0,0.0,0.0,2.0208984201100995,1
12,2017-04-19,2.0188225081178377,1.7740702905166743,2.3188969605328804,2.0188225081178377,2.0188225081178377,0.048080146366121665,0.048080146366121665,0.048080146366121665,0.048416816400819046,0.048416816400819046,0.048416816400819046,-0.0003366700346973775,-0.0003366700346973775,-0.0003366700346973775,0.0,0.0,0.0,2.0669026544839593,1
13,2017-04-20,2.0191312778170687,1.8506715120276649,2.23070743235481,2.0191312778170687,2.0191312778170687,0.009519264926347339,0.009519264926347339,0.009519264926347339,0.0025214847041844534,0.0025214847041844534,0.0025214847041844534,0.006997780222162884,0.006997780222162884,0.006997780222162884,0.0,0.0,0.0,2.028650542743416,1
14,2017-04-21,2.0194400475162997,1.8234593220488298,2.23894473800907,2.0194400475162997,2.0194400475162997,0.02233690111984454,0.02233690111984454,0.02233690111984454,0.008818808712542467,0.008818808712542467,0.008818808712542467,0.013518092407302075,0.013518092407302075,0.013518092407302075,0.0,0.0,0.0,2.0417769486361443,1
15,2017-04-22,2.0197488172155307,1.8156085404300442,2.226989605938159,2.0197488172155307,2.0197488172155307,0.00862320532356422,0.00862320532356422,0.00862320532356422,-0.010496141887689324,-0.010496141887689324,-0.010496141887689324,0.019119347211253548,0.019119347211253548,0.019119347211253548,0.0,0.0,0.0,2.028372022539095,1
16,2017-04-23,2.0200575869147612,1.7854749507056473,2.1613892204971887,2.0200575869147612,2.0200575869147612,-0.062309273419552856,-0.062309273419552856,-0.062309273419552856,-0.08602794847976965,-0.08602794847976965,-0.08602794847976965,0.023718675060216795,0.023718675060216795,0.023718675060216795,0.0,0.0,0.0,1.9577483134952083,1
17,2017-04-24,2.020366356613992,1.8076086122841204,2.3471536448072543,2.020366356613992,2.020366356613992,0.05327874414996808,0.05327874414996808,0.05327874414996808,0.02602186519816364,0.02602186519816364,0.02602186519816364,0.027256878951804446,0.027256878951804446,0.027256878951804446,0.0,0.0,0.0,2.0736451007639602,1
18,2017-04-25,2.020675126313223,1.8411618945230692,2.2961446400314105,2.020675126313223,2.020675126313223,0.0404446146857524,0.0404446146857524,0.0404446146857524,0.010745115351964972,0.010745115351964972,0.010745115351964972,0.02969949933378742,0.02969949933378742,0.02969949933378742,0.0,0.0,0.0,2.0611197409989757,1
19,2017-04-26,2.0209838960124538,1.878560091327139,2.3061119308398768,2.0209838960124538,2.0209838960124538,0.07945411454560213,0.07945411454560213,0.07945411454560213,0.04841681640075882,0.04841681640075882,0.04841681640075882,0.031037298144843295,0.031037298144843295,0.031037298144843295,0.0,0.0,0.0,2.100438010558056,1
